FACILITY_ID,EXISTING_FACILITY,RECOMMEND_FACILITY,ACTION,PHASE,YEAR_BUILT,PROPOSED,ROUTE_NAME,SURFACE,MILEAGE,FACILITY_WIDTH,MAINTENANCE,FULLNAME,FROMNAME,TONAME,VOLCLASS,TRAVLANES,LANEWIDTH,SPEEDLIMIT,ONEWAY,HUNDBLKNAME,COMMENTS
,,BBlvd,C,3,,,,,,,,W JEWELL AVE,S ACOMA ST/RRX,RRX,LOCAL,2,10,25,0,  100 BLK OF W JEWELL AVE,
,SRd,BBlvd,C,2,,,,,,,,N CLAY ST,W 39TH AVE,W 39TH AVE,LOCAL,2,14,25,0, 3900 BLK OF N CLAY ST,
,SRd,,,,,,,,,,,W 26TH AVE,N QUITMAN ST,N RALEIGH ST,ARTERIAL,2,10,30,0, 4100 BLK OF W 26TH AVE,
,SRd,BL,RP1,3,,,,,,,,W 26TH AVE,N TENNYSON ST,N UTICA ST,ARTERIAL,2,10,30,0, 4400 BLK OF W 26TH AVE,
,SRd,SH,ASM,3,,,,,,,,N STEELE ST,E 29TH AVE,E 30TH AVE,COLLECTOR,2,10,25,0, 2900 BLK OF N STEELE ST,
,SRd,,,,,,,,,,,LAWRENCE ST,34TH ST,35TH ST,ARTERIAL,2,10,30,1, 3400 BLK OF LAWRENCE ST,
,SRd,,,,,,,,,,,N CLARKSON ST,E 20TH AVE,E 22ND AVE,LOCAL,2,10,25,0, 2000 BLK OF N CLARKSON ST,
,,BBlvd,C,2,,,,,,,,N PERRY ST,W 46TH AVE,W 47TH AVE,LOCAL,2,10,25,0, 4600 BLK OF N PERRY ST,
,,SH,ASM,3,,,,,,,,E 40TH AVE,N STEELE ST,N ADAMS ST,ARTERIAL,4,10,35,0, 3200 BLK OF E 40TH AVE,
,,BL,RP2,3,,,,,,,,W 50TH AVE,N TEJON ST,N UMATILLA ST,COLLECTOR,2,10,30,0, 2000 BLK OF W 50TH AVE,
,,BL,ASM,2,,,,,,,,E 48TH AVE,N COLORADO BLVD SERVICE,N COLORADO BLVD,COLLECTOR,2,10,25,0, ,
,SRd,BL,RD,3,,,,,,,,N STEELE ST,E 40TH AVE,E 41ST AVE,COLLECTOR,2,10,25,0, 4000 BLK OF N STEELE ST,
,SRd,PShdr,PShdr,3,,,,,,,,N CLAYTON ST,E 44TH AVE,E 45TH AVE,LOCAL,2,10,25,0, 4400 BLK OF N CLAYTON ST,
