FACILITY_ID,EXISTING_FACILITY,RECOMMEND_FACILITY,ACTION,PHASE,YEAR_BUILT,PROPOSED,ROUTE_NAME,SURFACE,MILEAGE,FACILITY_WIDTH,MAINTENANCE,FULLNAME,FROMNAME,TONAME,VOLCLASS,TRAVLANES,LANEWIDTH,SPEEDLIMIT,ONEWAY,HUNDBLKNAME,COMMENTS
,,BBlvd,C,2,,,,,,,,N IRVING ST,W CONEJOS PL,W 16TH AVE,COLLECTOR,2,10,25,0, 1550 BLK OF N IRVING ST,
,,BBlvd,C,2,,,,,,,,W 41ST AVE,N STUART ST,N TENNYSON ST,LOCAL,2,10,25,0, 4300 BLK OF W 41ST AVE,
,SRd,,,,,,,,,,,W 26TH AVE,N PERRY ST,N QUITMAN ST,ARTERIAL,2,10,30,0, 4000 BLK OF W 26TH AVE,
,SRd,,,,,,,,,,,W 26TH AVE,N VRAIN ST,N WINONA CT,ARTERIAL,2,10,30,0, 4600 BLK OF W 26TH AVE,
,SWBP,BL,LD,2,,,,,,,,W 8TH AVE,N MARIPOSA ST,STR,ARTERIAL,4,10,30,0, 1200 BLK OF W 8TH AVE,
,,BBlvd,C,1,,,,,,,,E 4TH AVE,BGN,N COLUMBINE ST,LOCAL,2,10,25,0, 2400 BLK OF E 4TH AVE,
,,BBlvd,C,1,,,,,,,,E TENNESSEE AVE,S EMERSON ST,S OGDEN ST,LOCAL,2,10,25,0,  900 BLK OF E TENNESSEE AVE,
,,,,,,,,,,,,E 19TH AVE,N FRANKLIN ST,N GILPIN ST,LOCAL,2,10,25,0, 1600 BLK OF E 19TH AVE,CT
,SRd,BBlvd,C,2,,,,,,,,N PERRY ST,W HAYWARD PL,W 30TH AVE,LOCAL,2,10,25,0, 2950 BLK OF N PERRY ST,
,SRd,,,,,,,,,,,WYNKOOP ST,BGN,15TH ST,LOCAL,2,10,25,0, 1400 BLK OF WYNKOOP ST,
,,BBlvd,C,1,,,,,,,,W 35TH AVE,N KALAMATH ST,N LIPAN ST,LOCAL,2,10,25,0, 1200 BLK OF W 35TH AVE,
,,BBlvd,C,2,,,,,,,,W 41ST AVE,N VALLEJO ST,N WYANDOT ST,LOCAL,2,12,25,0, 2200 BLK OF W 41ST AVE,
,SRd,BBlvd,C,2,,,,,,,,N PERRY ST,W 33RD AVE,W 35TH AVE,LOCAL,2,10,25,0, 3300 BLK OF N PERRY ST,
,SRd,,,,,,,,,,,E 35TH AVE,N CLAYTON ST,N FILLMORE ST,LOCAL,2,10,25,0, 2700 BLK OF E 35TH AVE,
,SRd,,,,,,,,,,,N EMERSON ST,E 19TH AVE,E 20TH AVE,LOCAL,2,10,25,0, 1900 BLK OF N EMERSON ST,
,SRd,BBlvd,C,2,,,,,,,,N PERRY ST,W 39TH AVE,W 41ST AVE,LOCAL,2,10,25,0, 3900 BLK OF N PERRY ST,
,SRd,PPBL,ASM,2,,,,,,,,E FLORIDA AVE,S VINE ST,S GAYLORD ST,LOCAL,2,10,25,0, 2100 BLK OF E FLORIDA AVE,
,,PShdr,PShdr,3,,,,,,,,N CLAYTON ST,E 43RD AVE,E 44TH AVE,LOCAL,2,10,25,0, 4300 BLK OF N CLAYTON ST,
,SRd,SH,ASM,3,,,,,,,,N STEELE ST,E MARTIN LUTHER KING BLVD,E 33RD AVE,COLLECTOR,2,10,25,0, 3200 BLK OF N STEELE ST,
,SRd,,,,,,,,,,,E 35TH AVE,N RACE ST,N VINE ST,LOCAL,2,10,25,0, 2000 BLK OF E 35TH AVE,
,SRd,,,,,,,,,,,W 8TH AVE,N JULIAN ST,N JULIAN ST,LOCAL,2,10,25,0, 3350 BLK OF W 8TH AVE,
,,BL,C,2,,,,,,,,W BAYAUD AVE,S FOX ST,S GALAPAGO ST,LOCAL,2,10,25,0,  600 BLK OF W BAYAUD AVE,
,,BBlvd,C,1,,,,,,,,E 4TH AVE,N RACE CT,N RACE ST,LOCAL,2,10,25,0, 1925 BLK OF E 4TH AVE,
,SRd,BBlvd,C,3,,,,,,,,W BYERS PL,S RARITAN ST,S TEJON ST,LOCAL,2,10,25,0, 1500 BLK OF W BYERS PL,
,,BBlvd,C,2,,,,,,,,N IRVING ST,W 26TH AVE,W 27TH AVE,COLLECTOR,2,11,25,0, 2600 BLK OF N IRVING ST,
,SRd,BBlvd,C,2,,,,,,,,N PERRY ST,W 29TH AVE,W HAYWARD PL,LOCAL,2,10,25,0, 2900 BLK OF N PERRY ST,
,,BBlvd,C,1,,,,,,,,E 4TH AVE,N SAINT PAUL ST,N STEELE ST,LOCAL,2,10,25,0, 3100 BLK OF E 4TH AVE,
,,SH,ASM,3,,,,,,,,N WASHINGTON ST,E 22ND AVE/CLEVELAND PL,E 23RD AVE/COURT PL,COLLECTOR,2,10,25,0, 2200 BLK OF N WASHINGTON ST,
,,CL,LD,3,,,,,,,,N KALAMATH ST,W 35TH AVE,W 36TH AVE,LOCAL,2,10,25,0, 3500 BLK OF N KALAMATH ST,
,SRd,,,,,,,,,,,34TH ST,LAWRENCE ST,LARIMER ST,LOCAL,2,10,25,0, 1200 BLK OF 34TH ST,
,SRd,,,,,,,,,,,26TH ST,LAWRENCE ST,LARIMER ST,LOCAL,2,10,25,0, 1200 BLK OF 26TH ST,
,SRd,,,,,,,,,,,W 36TH AVE,N MARIPOSA ST,N NAVAJO ST,LOCAL,2,10,25,0, 1400 BLK OF W 36TH AVE,
,SRd,BBlvd,C,2,,,,,,,,N PERRY ST,W 39TH AVE,W 39TH AVE,LOCAL,2,10,25,0, 3850 BLK OF N PERRY ST,
,SWBP,,,,,,,,,,,N BROADWAY,RROVPASS,28TH ST,ARTERIAL,2,12,30,2, 2800 BLK OF N BROADWAY ST,
,,S,S,3,,,,,,,,N ELATI ST,W 42ND AVE/31ST ST,W 43RD AVE,LOCAL,2,10,25,0, 4200 BLK OF N ELATI ST,
,SRd,BBlvd,C,3,,,,,,,,W CEDAR AVE,S TEJON ST,W BYERS DR,LOCAL,2,10,25,0, 2000 BLK OF W CEDAR AVE,
,SRd,BBlvd,C,3,,,,,,,,W CEDAR AVE,W BYERS DR,S YUMA ST,LOCAL,2,10,25,0, 2100 BLK OF W CEDAR AVE,
,SRd,SH,ASM,3,,,,,,,,S ZUNI ST,W MOSIER PL,S WYANDOT WAY,COLLECTOR,2,10,25,0, 1150 BLK OF S ZUNI ST,
,SRd,SH,ASM,3,,,,,,,,S ZUNI ST,W LOUISIANA AVE,W ARKANSAS AVE,COLLECTOR,2,10,25,0, 1300 BLK OF S ZUNI ST,
,SRd,BL,RP1,3,,,,,,,,W YALE AVE,S ZURICH CT,S SHERIDAN BLVD/COLI,COLLECTOR,2,10,30,0, 5150 BLK OF W YALE AVE,
,SRd,BL,FTP2,3,,,,,,,,S ZUNI ST,W JEWELL AVE,W ASBURY AVE,COLLECTOR,2,11,25,0, 1900 BLK OF S ZUNI ST,
,SRd,BL,RP1,3,,,,,,,,W YALE AVE,S WINONA CT,S WOLFF ST,COLLECTOR,2,10,30,0, 4700 BLK OF W YALE AVE,
,SRd,BL,RP1,3,,,,,,,,W YALE AVE,S WOLFF ST,S XAVIER ST,COLLECTOR,2,10,30,0, 4800 BLK OF W YALE AVE,
,,BL,LD,3,,,,,,,,N WASHINGTON ST,E 4TH AVE,E 5TH AVE,COLLECTOR,2,10,30,2,  400 BLK OF N WASHINGTON ST,
,SRd,BBlvd,C,3,,,,,,,,W CEDAR AVE,S ZUNI ST,S ALCOTT ST,LOCAL,2,10,25,0, 2400 BLK OF W CEDAR AVE,
,,BL,RP1,3,,,,,,,,W YALE AVE,S KING ST,S LINLEY CT,COLLECTOR,2,10,30,0, 3500 BLK OF W YALE AVE,
,,BL,LD,3,,,,,,,,N WASHINGTON ST,E 6TH AVE,E 7TH AVE,COLLECTOR,2,10,30,2,  600 BLK OF N WASHINGTON ST,
,,BL,LD,3,,,,,,,,N WASHINGTON ST,E 10TH AVE,E 11TH AVE,COLLECTOR,2,10,30,2, 1000 BLK OF N WASHINGTON ST,
,SRd,SH,ASM,3,,,,,,,,W 13TH AVE,N MARIPOSA ST,N OSAGE ST,COLLECTOR,2,10,30,0, 1200 BLK OF W 13TH AVE,CT
,SRd,SH,ASM,3,,,,,,,,S ZUNI ST,S WYANDOT WAY,W LOUISIANA AVE,COLLECTOR,2,10,25,0, 1250 BLK OF S ZUNI ST,
,,BL,RP1,3,,,,,,,,W YALE AVE,S LINLEY CT,S LOWELL BLVD,COLLECTOR,2,10,30,0, 3550 BLK OF W YALE AVE,
,,S,S,3,,,,,,,,W QUINCY AVE,S NEWTON ST,S QUITMAN ST,COLLECTOR,2,10,40,0, 3800 BLK OF W QUINCY AVE,
,SRd,BL,RP1,3,,,,,,,,S PERRY ST,N PERRY ST/W ELLSWORTH AVE,W BAYAUD AVE,COLLECTOR,2,10,30,0,  000 BLK OF S PERRY ST,
,SRd,BL,RP1,3,,,,,,,,W YALE AVE,S LOWELL BLVD,S MEADE ST,COLLECTOR,2,10,30,0, 3600 BLK OF W YALE AVE,
,SRd,SH,ASM,3,,,,,,,,S ZUNI ST,W FLORIDA AVE,W GUNNISON PL/W GUNNISON DR,COLLECTOR,2,10,25,0, 1500 BLK OF S ZUNI ST,
,,BBlvd,C,3,,,,,,,,W 1ST AVE,N CLAY ST,N DECATUR ST,LOCAL,2,10,25,0, 2700 BLK OF W 1ST AVE,
,SRd,BL,RP1,3,,,,,,,,W YALE AVE,S TENNYSON WAY,S UTICA ST,COLLECTOR,2,10,30,0, 4400 BLK OF W YALE AVE,
,SRd,SH,FTP2,3,,,,,,,,S WEBSTER ST,PRIVATE RD/W YALE AVE,S VANCE WAY,LOCAL,2,10,25,0, 2700 BLK OF S WEBSTER ST,
,,BBlvd,C,3,,,,,,,,W 1ST AVE,N ALCOTT ST/NMCHG,N CLAY ST,LOCAL,2,10,25,0, 2500 BLK OF W 1ST AVE,
,SRd,SH,ASM,3,,,,,,,,S ZUNI ST,W ARKANSAS AVE,W FLORIDA AVE,COLLECTOR,2,10,25,0, 1400 BLK OF S ZUNI ST,
,SRd,BL,RP1,3,,,,,,,,W YALE AVE,S VRAIN ST,S WINONA CT,COLLECTOR,2,10,30,0, 4600 BLK OF W YALE AVE,
,SRd,BL,RP1,3,,,,,,,,W YALE AVE,S XAVIER ST,S YATES ST,COLLECTOR,2,10,30,0, 4900 BLK OF W YALE AVE,
,,BBlvd,C,3,,,,,,,,S ALCOTT ST,W ARCHER PL,W BAYAUD AVE,LOCAL,2,10,25,0,   50 BLK OF S ALCOTT ST,
,SRd,BL,RP1,3,,,,,,,,S TENNYSON ST,W MEXICO AVE,W COLORADO AVE,COLLECTOR,2,10,25,0, 1700 BLK OF S TENNYSON ST,
,,BL,RP1,3,,,,,,,,W YALE AVE,S IRVING ST,S JULIAN ST,COLLECTOR,2,10,30,0, 3300 BLK OF W YALE AVE,
,SRd,BL,RP1,3,,,,,,,,W YALE AVE,S ZENOBIA ST,S ZURICH CT,COLLECTOR,2,10,30,0, 5100 BLK OF W YALE AVE,
,SRd,SH,FTP2,3,,,,,,,,S WEBSTER ST,W BATES AVE,W DARTMOUTH AVE/NMCHG,LOCAL,2,10,25,0, 2900 BLK OF S WEBSTER ST,
,SRd,SH,FTP2,3,,,,,,,,S WEBSTER ST,W AMHERST AVE,W BATES AVE,LOCAL,2,10,25,0, 2800 BLK OF S WEBSTER ST,
,,BL,RP1,3,,,,,,,,W YALE AVE,S HOOKER ST,S IRVING ST,COLLECTOR,2,10,30,0, 3200 BLK OF W YALE AVE,
,SRd,SH,ASM,3,,,,,,,,S ZUNI ST,W KENTUCKY AVE,W FORD PL,COLLECTOR,2,10,25,0,  900 BLK OF S ZUNI ST,
,SRd,BL,RD,3,,,,,,,,W 1ST AVE,N FEDERAL BLVD,N GROVE ST,COLLECTOR,2,11,30,0, 3000 BLK OF W 1ST AVE,
,,BL,RP1,3,,,,,,,,W YALE AVE,S GROVE ST,S HAZEL CT,COLLECTOR,2,10,30,0, 3100 BLK OF W YALE AVE,
,SRd,BL,RP1,3,,,,,,,,W YALE AVE,S PATTON CT,S PERRY ST,COLLECTOR,2,10,30,0, 3950 BLK OF W YALE AVE,
,SRd,,,,,,,,,,,E ILIFF AVE,S LINDEN CT,S LOCUST ST,LOCAL,2,10,30,0, 6300 BLK OF E ILIFF AVE,
,SRd,,,,,,,,,,,W 26TH AVE,N RALEIGH ST,N STUART ST,ARTERIAL,2,10,30,0, 4200 BLK OF W 26TH AVE,
,SRd,BBlvd,C,2,,,,,,,,N CLAY ST,W 45TH AVE,W 45TH AVE,LOCAL,2,10,25,0, 4500 BLK OF N CLAY ST,
,SRd,,,,,,,,,,,E 35TH AVE,N JACKSON ST,N HARRISON ST,LOCAL,2,10,25,0, 3800 BLK OF E 35TH AVE,
,SRd,SH,ASM,3,,,,,,,,S ZUNI ST,W CUSTER PL,W CENTER AVE,LOCAL,2,10,25,0,  550 BLK OF S ZUNI ST,
,SRd,BBlvd,C,3,,,,,,,,N ELIOT ST,W 21ST AVE,W 22ND AVE,LOCAL,2,10,25,0, 2100 BLK OF N ELIOT ST,
,,,ASM,,,,,,,,,S HOLLY ST,E COLORADO AVE,E UTAH PL,ARTERIAL,2,10,25,0, ,
,SRd,BL,RP1,2,,,,,,,,E ILIFF AVE,S MADISON ST,S MONROE ST,COLLECTOR,2,10,25,0, 3500 BLK OF E ILIFF AVE,
,SRd,BBlvd,C,3,,,,,,,,S FRANKLIN ST,E EVANS AVE,E WARREN AVE,LOCAL,2,10,25,0, 2100 BLK OF S FRANKLIN ST,
,SRd,BL,LD,2,,,,,,,,E ILIFF AVE,S GRANT ST,S LOGAN ST,COLLECTOR,2,10,25,0,  300 BLK OF E ILIFF AVE,
,SRd,BL,RD,3,,,,,,,,S YOSEMITE ST,E LEHIGH AVE,E LEHIGH AVE,ARTERIAL,4,10,35,0, 3800 BLK OF S YOSEMITE ST,
,SRd,BL,RP1,3,,,,,,,,E EXPOSITION AVE,S YORK ST,S UNIVERSITY BLVD/S BONNIE BRAE BLVD,COLLECTOR,2,11,25,0, 2300 BLK OF E EXPOSITION AVE,
,SRd,BL,RP1,2,,,,,,,,E ILIFF AVE,S UNIVERSITY BLVD,S JOSEPHINE ST,COLLECTOR,2,10,25,0, 2350 BLK OF E ILIFF AVE,
,SRd,BL,RP1,3,,,,,,,,E EXPOSITION AVE,S HIGH ST,S RACE ST,COLLECTOR,2,11,25,0, 1900 BLK OF E EXPOSITION AVE,
,,S,S,3,,,,,,,,E MISSISSIPPI AVE,S LINCOLN ST,S SHERMAN ST,ARTERIAL,4,10,30,0,  100 BLK OF E MISSISSIPPI AVE,
,SRd,BL,LD,2,,,,,,,,E ILIFF AVE,S LOGAN ST,S CLARKSON ST,COLLECTOR,2,10,25,0,  400 BLK OF E ILIFF AVE,
,SRd,BBlvd,C,3,,,,,,,,S FRANKLIN ST,E BUCHTEL BLVD,E MEXICO AVE,COLLECTOR,2,10,25,0, 1600 BLK OF S FRANKLIN ST,
,SRd,SH,ASM,2,,,,,,,,E ILIFF AVE,S ASH ST,S BELLAIRE ST,COLLECTOR,2,10,25,0, 4200 BLK OF E ILIFF AVE,
,,BL,RD,3,,,,,,,,E YALE AVE,S KEARNEY ST/COLI,S KRAMERIA ST,ARTERIAL,2,10,30,0, 6100 BLK OF E YALE AVE,
,SRd,PShdr,PShdr,2,,,,,,,,S DAHLIA ST,E YALE AVE,E AMHERST AVE,COLLECTOR,2,12,30,0, 2700 BLK OF S DAHLIA ST,
,,BL,LD,3,,,,,,,,E 23RD AVE,N KRAMERIA ST,N LEYDEN ST,ARTERIAL,3,10,30,0, 6200 BLK OF E 23RD AVE,
,SRd,BL,RP1,3,,,,,,,,E EXPOSITION AVE,S GAYLORD ST,S YORK ST,COLLECTOR,2,11,25,0, 2200 BLK OF E EXPOSITION AVE,
,SRd,PShdr,PShdr,3,,,,,,,,S BONNIE BRAE BLVD,S UNIVERSITY BLVD/E EXPOSITION AVE,E OHIO AVE,COLLECTOR,2,11,25,0,  700 BLK OF S BONNIE BRAE BLVD,
,,BL,RP1,2,,,,,,,,E MANSFIELD AVE,S TAMARAC DR/E PRINCETON AVE,S UINTA ST,COLLECTOR,2,11,25,0, 8100 BLK OF E MANSFIELD AVE,
,SRd,BL,RP1,2,,,,,,,,E ILIFF AVE,S CLAYTON ST,S FILLMORE ST,COLLECTOR,2,10,25,0, 2700 BLK OF E ILIFF AVE,
,,BufBL,RP2,3,,,,,,,,E 23RD AVE,N NIAGARA ST,N NEWPORT ST,ARTERIAL,2,10,30,0, 6700 BLK OF E 23RD AVE,
,,BL,RP1,3,,,,,,,,E 17TH AVE,N TRENTON ST,N TAMARAC ST,ARTERIAL,2,10,30,0, 7900 BLK OF E 17TH AVE,
,SRd,SH,ASM,2,,,,,,,,E ILIFF AVE,S BELLAIRE ST,S BIRCH ST,COLLECTOR,2,10,25,0, 4300 BLK OF E ILIFF AVE,
,SRd,BL,PShdr,3,,,,,,,,E SMITH RD,N NIAGARA ST,N NEWPORT ST,ARTERIAL,2,10,40,0, 6700 BLK OF E SMITH RD,
,,BL,RD,3,,,,,,,,E YALE AVE,S KEARNEY ST,S KEARNEY ST/COLI,ARTERIAL,2,10,25,0, ,
,SRd,BL,RP1,3,,,,,,,,N PERRY ST,W 3RD AVE,W 4TH AVE,COLLECTOR,2,12,30,0,  300 BLK OF N PERRY ST,
,SRd,BBlvd,C,3,,,,,,,,W CEDAR AVE,S YUMA ST,S ZUNI ST,LOCAL,2,10,25,0, 2350 BLK OF W CEDAR AVE,
,SRd,SH,ASM,3,,,,,,,,S ZUNI ST,W FORD PL,W TENNESSEE AVE,COLLECTOR,2,10,25,0,  950 BLK OF S ZUNI ST,
,SRd,BL,RD,3,,,,,,,,W 1ST AVE,N GROVE ST,N HAZEL CT,COLLECTOR,2,11,30,0, 3100 BLK OF W 1ST AVE,
,,BBlvd,C,3,,,,,,,,N HIGH ST,E 23RD AVE,E 24TH AVE,LOCAL,2,10,25,0, 2300 BLK OF N HIGH ST,
,SRd,BBlvd,C,2,,,,,,,,E VIRGINIA AVE,S OGDEN ST,S CORONA ST,COLLECTOR,2,10,25,0, 1000 BLK OF E VIRGINIA AVE,
,SRd,S,S,3,,,,,,,,38TH ST,WYNKOOP ST,N BRIGHTON BLVD,ARTERIAL,4,10,30,0, 1700 BLK OF 38TH ST,
,,SH,ASM,3,,,,,,,,W 32ND AVE,N ZENOBIA ST,N SHERIDAN BLVD/COLI,COLLECTOR,2,10,30,0, 5150 BLK OF W 32ND AVE,
,,BBlvd,C,3,,,,,,,,N WILLIAMS ST,E 17TH AVE,E 18TH AVE,LOCAL,2,10,25,0, 1700 BLK OF N WILLIAMS ST,
,SWBP,S,S,3,,,,,,,,38TH ST,CHESTNUT PL,ARKINS CT,ARTERIAL,4,10,30,0, 2000 BLK OF 38TH ST,
,,SH,ASM,3,,,,,,,,W 32ND AVE,N PERRY ST,N QUITMAN ST,COLLECTOR,2,10,30,0, 4000 BLK OF W 32ND AVE,
,,SH,ASM,3,,,,,,,,W 32ND AVE,N GREEN CT/N SPEER BLVD,N IRVING ST,COLLECTOR,2,10,35,0, 3200 BLK OF W 32ND AVE,
,SRd,,FTP2,,,,,,,,,N FRANKLIN ST,E 39TH AVE,E 40TH AVE/WALNUT ST,COLLECTOR,2,10,25,0, 3900 BLK OF N FRANKLIN ST,
,,BBlvd,C,3,,,,,,,,N WILLIAMS ST,E 29TH AVE,E 30TH AVE,LOCAL,2,10,25,0, 2900 BLK OF N WILLIAMS ST,
,,BBlvd,C,3,,,,,,,,N WILLIAMS ST,E 18TH AVE,E 19TH AVE,LOCAL,2,10,25,0, 1800 BLK OF N WILLIAMS ST,
,,BBlvd,C,3,,,,,,,,N HIGH ST,E 21ST AVE,E 22ND AVE,LOCAL,2,10,25,0, 2100 BLK OF N HIGH ST,
,SRd,BBlvd,C,1,,,,,,,,N WILLIAMS ST,E 5TH AVE,E 6TH AVE,LOCAL,2,10,25,0,  500 BLK OF N WILLIAMS ST,
,SRd,BL,RP1,1,,,,,,,,E 3RD AVE,N MARION ST,N LAFAYETTE ST,LOCAL,2,10,25,0, 1300 BLK OF E 3RD AVE,
,,BL,LD,1,,,,,,,,N ZUNI ST,W 29TH AVE,W DUNKELD PL,ARTERIAL,4,11,30,0, 2900 BLK OF N ZUNI ST,
,SRd,BBlvd,C,2,,,,,,,,E VIRGINIA AVE,S EMERSON ST,S OGDEN ST,COLLECTOR,2,10,25,0,  900 BLK OF E VIRGINIA AVE,
,SRd,BBlvd,C,2,,,,,,,,E VIRGINIA AVE,S LOGAN ST,S PENNSYLVANIA ST,COLLECTOR,2,10,25,0,  400 BLK OF E VIRGINIA AVE,
,,BBlvd,C,3,,,,,,,,N WILLIAMS ST,E 13TH AVE,E 14TH AVE,LOCAL,2,10,25,0, 1300 BLK OF N WILLIAMS ST,
,SRd,PShdr,PShdr,2,,,,,,,,S DAHLIA ST,E AMHERST AVE,E BATES AVE,COLLECTOR,2,12,30,0, 2800 BLK OF S DAHLIA ST,
,SRd,BL,RP1,2,,,,,,,,E ILIFF AVE,S MONROE ST,S GARFIELD ST,COLLECTOR,2,10,25,0, 3600 BLK OF E ILIFF AVE,
,SRd,BBlvd,C,1,,,,,,,,E 21ST AVE,N VINE ST,N GAYLORD ST,LOCAL,2,10,25,0, 2100 BLK OF E 21ST AVE,
,SRd,BBlvd,C,2,,,,,,,,E VIRGINIA AVE,S BROADWAY/W VIRGINIA AVE,S LINCOLN ST,COLLECTOR,2,10,25,0,  000 BLK OF E VIRGINIA AVE,
,SRd,BL,LD,2,,,,,,,,N BANNOCK ST,W 6TH AVE,W 7TH AVE,COLLECTOR,3,10,25,0,  600 BLK OF N BANNOCK ST,
,SRd,BL,RP1,2,,,,,,,,S CHEROKEE ST,W ALAMEDA AVE,W ALASKA PL/NMCHG,LOCAL,2,10,25,0,  300 BLK OF S CHEROKEE ST,
,SRd,SH,ASM,2,,,,,,,,E ILIFF AVE,S ALBION ST,S ASH ST,COLLECTOR,2,10,25,0, 4100 BLK OF E ILIFF AVE,
,,BL,RP1,2,,,,,,,,E MANSFIELD AVE,S WILLOW WAY,S XANTHIA ST,COLLECTOR,2,11,25,0, ,
,SRd,BL,PShdr,3,,,,,,,,E SMITH RD,N POPLAR ST,N QUEBEC ST,ARTERIAL,2,10,40,0, 7200 BLK OF E SMITH RD,
,SRd,BL,PShdr,3,,,,,,,,E SMITH RD,N MAGNOLIA ST,N NIAGARA ST,ARTERIAL,2,10,40,0, 6600 BLK OF E SMITH RD,
,SRd,BBlvd,C,2,,,,,,,,E VIRGINIA AVE,S PENNSYLVANIA ST,S PEARL ST,COLLECTOR,2,10,25,0,  500 BLK OF E VIRGINIA AVE,
,SRd,BBlvd,C,3,,,,,,,,S FRANKLIN ST,E ASBURY AVE,E EVANS AVE,COLLECTOR,2,12,25,0, 2000 BLK OF S FRANKLIN ST,
,,,PShdr,,,,,,,,,S HOLLY ST,S LEYDEN ST,S LEYDEN ST,LOCAL,2,0,25,0, ,
,,BL,RP1,3,,,,,,,,E YALE AVE,S NEWPORT ST,S ONEIDA ST,ARTERIAL,2,11,30,0, 6800 BLK OF E YALE AVE,
,SRd,BL,RP1,2,,,,,,,,E ILIFF AVE,S COOK ST,S COOK ST,COLLECTOR,2,10,25,0, 3350 BLK OF E ILIFF AVE,
,SRd,BBlvd,C,2,,,,,,,,E VIRGINIA AVE,S DOWNING ST,S MARION STREET PKWY/DENVER PARK RD,COLLECTOR,2,10,25,0, 1200 BLK OF E VIRGINIA AVE,
,SRd,PShdr,PShdr,3,,,,,,,,S BONNIE BRAE BLVD,S COVE WAY,S CLAYTON WAY,COLLECTOR,2,11,25,0,  950 BLK OF S BONNIE BRAE BLVD,
,SRd,,FTP2,,,,,,,,,N FRANKLIN ST,E 37TH AVE,E 38TH AVE/N HUMBOLDT ST,COLLECTOR,2,10,25,0, 3700 BLK OF N FRANKLIN ST,
,,BBlvd,C,1,,,,,,,,N MARION ST,MEDIAN END,E 28TH AVE,LOCAL,2,10,25,1, ,
,SRd,BL,RP1,3,,,,,,,,E EXPOSITION AVE,S WILLIAMS ST,S HIGH ST,COLLECTOR,2,11,25,0, 1800 BLK OF E EXPOSITION AVE,
,SRd,BL,LD,2,,,,,,,,E ILIFF AVE,S MARION ST,S LAFAYETTE ST,COLLECTOR,2,10,25,0, 1300 BLK OF E ILIFF AVE,
,,BL,ASM,2,,,,,,,,E 48TH AVE,N VASQUEZ BLVD FRONTAGE W,N VASQUEZ BLVD,COLLECTOR,2,10,25,0, 3350 BLK OF E 48TH AVE,
,SRd,BL,LD,2,,,,,,,,E ILIFF AVE,S EMERSON ST,S OGDEN ST,COLLECTOR,2,10,25,0,  900 BLK OF E ILIFF AVE,
,SRd,BL,RP1,3,,,,,,,,E EXPOSITION AVE,S RACE ST,S VINE ST,COLLECTOR,2,11,25,0, 2000 BLK OF E EXPOSITION AVE,
,SRd,BBlvd,C,2,,,,,,,,E VIRGINIA AVE,S CLARKSON ST,S EMERSON ST,COLLECTOR,2,10,25,0,  800 BLK OF E VIRGINIA AVE,
,SRd,BL,RP2,2,,,,,,,,E ILIFF AVE,S YORK ST,S UNIVERSITY BLVD,COLLECTOR,2,10,25,0, 2300 BLK OF E ILIFF AVE,
,,S,S,1,,,,,,,,E MISSISSIPPI AVE,S SHERMAN ST,S GRANT ST,ARTERIAL,4,10,30,0,  200 BLK OF E MISSISSIPPI AVE,
,,BBlvd,C,3,,,,,,,,S ALCOTT ST,W BAYAUD AVE,W CEDAR AVE,LOCAL,2,10,25,0,  100 BLK OF S ALCOTT ST,
,SRd,BL,RP1,3,,,,,,,,W YALE AVE,S NEWTON ST,S OSCEOLA ST/S OSCEOLA WAY,COLLECTOR,2,10,30,0, 3800 BLK OF W YALE AVE,
,,BL,RP1,3,,,,,,,,W YALE AVE,S GREEN CT,S GROVE ST,COLLECTOR,2,10,30,0, 3050 BLK OF W YALE AVE,
,,BL,RP1,3,,,,,,,,W YALE AVE,S JULIAN ST,TRAFFIC SIGNAL BTWN S JULIAN ST AND S KNOX CT,COLLECTOR,2,10,30,0, 3400 BLK OF W YALE AVE,
,,BL,LD,3,,,,,,,,N WASHINGTON ST,E 13TH AVE,E 14TH AVE,COLLECTOR,2,10,30,2, 1300 BLK OF N WASHINGTON ST,
,SRd,BL,RP1,3,,,,,,,,W YALE AVE,S YATES ST,S ZENOBIA ST,COLLECTOR,2,10,30,0, 5000 BLK OF W YALE AVE,
,,BL,RP1,3,,,,,,,,W YALE AVE,S HAZEL CT,S HOOKER ST,COLLECTOR,2,10,30,0, 3150 BLK OF W YALE AVE,
,SRd,BL,RP1,3,,,,,,,,W YALE AVE,S OSCEOLA ST/S OSCEOLA WAY,S PATTON CT,COLLECTOR,2,10,30,0, 3900 BLK OF W YALE AVE,
,SRd,BL,RP1,3,,,,,,,,S TENNYSON ST,W LOUISIANA AVE,W WYOMING PL,COLLECTOR,2,10,25,0, 1300 BLK OF S TENNYSON ST,
,SRd,BL,RP1,3,,,,,,,,W YALE AVE,S STUART ST,S TENNYSON WAY,COLLECTOR,2,10,30,0, 4300 BLK OF W YALE AVE,
,,BL,RP1,3,,,,,,,,W YALE AVE,S KNOX CT,S KING ST,COLLECTOR,2,10,30,0, 3450 BLK OF W YALE AVE,
,SRd,SH,ASM,3,,,,,,,,S ZUNI ST,W TENNESSEE AVE,W TENNESSEE AVE,COLLECTOR,2,10,25,0, 1000 BLK OF S ZUNI ST,
,SRd,BL,RD,3,,,,,,,,W 1ST AVE,N HAZEL CT,N HOOKER ST,COLLECTOR,2,11,30,0, 3150 BLK OF W 1ST AVE,
