LOCATION,LOC_CODE,TRAIL_NAME,REACH,PATH_TYPE,TYPE_CLASS,SURFACE_TYPE,LENGTH_MILE,WIDTH_FT,PRIMARY_USE,JURISDICTION,ACCESSIBILITY,YEAR_BUILT,YEAR_RESURF,NOTES,ASSET_CLASS,CLASS_CATEGORY,GIS_ASSET_ID,INFOR_ASSET_ID
Cheesman Park,312,Cheesman Park Inner Loop,None,1,Park Circulation,Concrete,0.00867625,6.0,None,City & County of Denver,Yes,2010, ,None,WLKTRL,WLK-HARD,75167,107633
Stapleton Central,561,None,None,1,Park Circulation,Crusher Fines,0.04146903,None,None,City & County of Denver,None,None, ,None,WLKTRL,WLK-SOFT,73306,105117
Stapleton Central,561,None,None,1,Park Circulation,Crusher Fines,0.00325331,None,None,City & County of Denver,None,None, ,None,WLKTRL,WLK-SOFT,73403,107389
Stapleton Central,561,None,None,1,Park Circulation,Crusher Fines,0.00444015,None,None,City & County of Denver,None,None, ,None,WLKTRL,WLK-SOFT,73471,108829
Stapleton Central,561,None,None,1,Park Circulation,Crusher Fines,0.08518496,None,None,City & County of Denver,None,None, ,None,WLKTRL,WLK-SOFT,73561,105881
Stapleton Central,561,None,None,1,Park Circulation,Crusher Fines,0.00433134,None,None,City & County of Denver,None,None, ,None,WLKTRL,WLK-SOFT,73700,108830
Stapleton Central,561,None,None,1,Park Circulation,Crusher Fines,0.09541347,None,None,City & County of Denver,None,None, ,None,WLKTRL,WLK-SOFT,73562,105882
Stapleton Central,561,None,None,1,Park Circulation,Crusher Fines,0.00425305,None,None,City & County of Denver,None,None, ,None,WLKTRL,WLK-SOFT,73701,108831
Stapleton Central,561,None,None,1,Park Circulation,Concrete,0.0062097,None,None,City & County of Denver,None,None, ,None,WLKTRL,WLK-HARD,73598,106654
Stapleton Central,561,None,None,1,Park Circulation,Crusher Fines,0.04907513,None,None,City & County of Denver,None,None, ,None,WLKTRL,WLK-SOFT,73702,108832
Stapleton Central,561,None,None,1,Park Circulation,Concrete,0.00419312,None,None,City & County of Denver,None,None, ,None,WLKTRL,WLK-HARD,73668,108130
Stapleton Central,561,None,None,1,Park Circulation,Crusher Fines,0.00428372,None,None,City & County of Denver,None,None, ,None,WLKTRL,WLK-SOFT,73532,105118
Stapleton Central,561,None,None,1,Park Circulation,Crusher Fines,0.00420081,None,None,City & County of Denver,None,None, ,None,WLKTRL,WLK-SOFT,73500,104327
